------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 45088 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58955)
[ ID] Interval       Transfer     Bandwidth
[  1] 64.5000-65.0000 sec  6.65 MBytes   112 Mbits/sec
[  1] 65.0000-65.5000 sec  7.15 MBytes   120 Mbits/sec
[  1] 65.5000-66.0000 sec  8.46 MBytes   142 Mbits/sec
[  1] 66.0000-66.5000 sec  8.26 MBytes   139 Mbits/sec
[  1] 66.5000-67.0000 sec  4.41 MBytes  74.1 Mbits/sec
[  1] 67.0000-67.5000 sec  6.58 MBytes   110 Mbits/sec
[  1] 67.5000-68.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 68.0000-68.5000 sec  7.96 MBytes   133 Mbits/sec
[  1] 68.5000-69.0000 sec  7.71 MBytes   129 Mbits/sec
[  1] 69.0000-69.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 69.5000-70.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 70.0000-70.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 70.5000-71.0000 sec  3.17 MBytes  53.1 Mbits/sec
[  1] 71.0000-71.5000 sec  8.27 MBytes   139 Mbits/sec
[  1] 71.5000-72.0000 sec  7.96 MBytes   133 Mbits/sec
[  1] 72.0000-72.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 72.5000-73.0000 sec  7.08 MBytes   119 Mbits/sec
[  1] 73.0000-73.5000 sec  4.67 MBytes  78.3 Mbits/sec
[  1] 73.5000-74.0000 sec  6.77 MBytes   114 Mbits/sec
[  1] 74.0000-74.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 74.5000-75.0000 sec  6.90 MBytes   116 Mbits/sec
[  1] 75.0000-75.5000 sec  7.58 MBytes   127 Mbits/sec
[  1] 75.5000-76.0000 sec   299 KBytes  4.90 Mbits/sec
[  1] 76.0000-76.5000 sec  10.6 MBytes   179 Mbits/sec
[  1] 76.5000-77.0000 sec  3.91 MBytes  65.6 Mbits/sec
[  1] 77.0000-77.5000 sec  9.01 MBytes   151 Mbits/sec
[  1] 77.5000-78.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 78.0000-78.5000 sec  8.14 MBytes   137 Mbits/sec
[  1] 78.5000-79.0000 sec  7.95 MBytes   133 Mbits/sec
[  1] 79.0000-79.5000 sec  7.08 MBytes   119 Mbits/sec
[  1] 79.5000-80.0000 sec  4.79 MBytes  80.4 Mbits/sec
[  1] 80.0000-80.5000 sec  6.20 MBytes   104 Mbits/sec
[  1] 80.5000-81.0000 sec  6.96 MBytes   117 Mbits/sec
[  1] 81.0000-81.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 81.5000-82.0000 sec  7.58 MBytes   127 Mbits/sec
[  1] 82.0000-82.5000 sec  3.79 MBytes  63.6 Mbits/sec
[  1] 82.5000-83.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 83.0000-83.5000 sec  6.89 MBytes   116 Mbits/sec
[  1] 83.5000-84.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 84.0000-84.5000 sec  7.58 MBytes   127 Mbits/sec
[  1] 84.5000-85.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 85.0000-85.5000 sec  3.73 MBytes  62.6 Mbits/sec
[  1] 85.5000-86.0000 sec  8.95 MBytes   150 Mbits/sec
[  1] 86.0000-86.5000 sec  8.20 MBytes   138 Mbits/sec
[  1] 86.5000-87.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 87.0000-87.5000 sec  7.15 MBytes   120 Mbits/sec
[  1] 87.5000-88.0000 sec  1.10 MBytes  18.5 Mbits/sec
[  1] 88.0000-88.5000 sec  7.62 MBytes   128 Mbits/sec
[  1] 88.5000-89.0000 sec  8.12 MBytes   136 Mbits/sec
[  1] 89.0000-89.5000 sec  7.76 MBytes   130 Mbits/sec
[  1] 89.5000-90.0000 sec  8.08 MBytes   136 Mbits/sec
[  1] 90.0000-90.5000 sec  4.54 MBytes  76.2 Mbits/sec
[  1] 90.5000-91.0000 sec  8.64 MBytes   145 Mbits/sec
[  1] 91.0000-91.5000 sec  6.95 MBytes   117 Mbits/sec
[  1] 91.5000-92.0000 sec  7.90 MBytes   132 Mbits/sec
[  1] 92.0000-92.5000 sec  8.26 MBytes   139 Mbits/sec
[  1] 92.5000-93.0000 sec  7.70 MBytes   129 Mbits/sec
[  1] 93.0000-93.5000 sec  3.54 MBytes  59.4 Mbits/sec
[  1] 93.5000-94.0000 sec  7.64 MBytes   128 Mbits/sec
[  1] 94.0000-94.5000 sec  8.33 MBytes   140 Mbits/sec
[  1] 94.5000-95.0000 sec  7.14 MBytes   120 Mbits/sec
[  1] 95.0000-95.5000 sec  6.71 MBytes   113 Mbits/sec
[  1] 95.5000-96.0000 sec  6.84 MBytes   115 Mbits/sec
[  1] 96.0000-96.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 96.5000-97.0000 sec  7.09 MBytes   119 Mbits/sec
[  1] 97.0000-97.5000 sec  4.60 MBytes  77.2 Mbits/sec
[  1] 97.5000-98.0000 sec  7.08 MBytes   119 Mbits/sec
[  1] 98.0000-98.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 98.5000-99.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 99.0000-99.5000 sec  8.83 MBytes   148 Mbits/sec
[  1] 99.5000-100.0000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 100.0000-100.5000 sec  7.64 MBytes   128 Mbits/sec
[  1] 100.5000-101.0000 sec  8.58 MBytes   144 Mbits/sec
[  1] 101.0000-101.5000 sec  7.14 MBytes   120 Mbits/sec
