------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 53642 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/66566)
[ ID] Interval       Transfer     Bandwidth
[  1] 75.5000-76.0000 sec  5.50 MBytes  92.3 Mbits/sec
[  1] 76.0000-76.5000 sec  7.80 MBytes   131 Mbits/sec
[  1] 76.5000-77.0000 sec  10.4 MBytes   175 Mbits/sec
[  1] 77.0000-77.5000 sec  10.7 MBytes   179 Mbits/sec
[  1] 77.5000-78.0000 sec  10.7 MBytes   179 Mbits/sec
[  1] 78.0000-78.5000 sec  10.6 MBytes   178 Mbits/sec
[  1] 78.5000-79.0000 sec  9.75 MBytes   164 Mbits/sec
[  1] 79.0000-79.5000 sec  11.0 MBytes   185 Mbits/sec
[  1] 79.5000-80.0000 sec  9.16 MBytes   154 Mbits/sec
[  1] 80.0000-80.5000 sec  8.05 MBytes   135 Mbits/sec
[  1] 80.5000-81.0000 sec  9.33 MBytes   156 Mbits/sec
[  1] 81.0000-81.5000 sec  9.82 MBytes   165 Mbits/sec
[  1] 81.5000-82.0000 sec  4.97 MBytes  83.4 Mbits/sec
[  1] 82.0000-82.5000 sec  10.6 MBytes   178 Mbits/sec
[  1] 82.5000-83.0000 sec  10.2 MBytes   171 Mbits/sec
[  1] 83.0000-83.5000 sec  10.7 MBytes   180 Mbits/sec
[  1] 83.5000-84.0000 sec  10.8 MBytes   181 Mbits/sec
[  1] 84.0000-84.5000 sec  10.3 MBytes   173 Mbits/sec
[  1] 84.5000-85.0000 sec  10.8 MBytes   181 Mbits/sec
[  1] 85.0000-85.5000 sec  10.3 MBytes   172 Mbits/sec
[  1] 85.5000-86.0000 sec  5.32 MBytes  89.2 Mbits/sec
[  1] 86.0000-86.5000 sec  10.8 MBytes   180 Mbits/sec
[  1] 86.5000-87.0000 sec  10.1 MBytes   169 Mbits/sec
[  1] 87.0000-87.5000 sec  9.69 MBytes   163 Mbits/sec
[  1] 87.5000-88.0000 sec  10.6 MBytes   177 Mbits/sec
[  1] 88.0000-88.5000 sec  10.6 MBytes   177 Mbits/sec
[  1] 88.5000-89.0000 sec  10.5 MBytes   176 Mbits/sec
[  1] 89.0000-89.5000 sec  10.8 MBytes   180 Mbits/sec
[  1] 89.5000-90.0000 sec  10.7 MBytes   179 Mbits/sec
[  1] 90.0000-90.5000 sec  10.0 MBytes   168 Mbits/sec
[  1] 90.5000-91.0000 sec  7.19 MBytes   121 Mbits/sec
[  1] 91.0000-91.5000 sec  7.00 MBytes   117 Mbits/sec
[  1] 91.5000-92.0000 sec  9.30 MBytes   156 Mbits/sec
[  1] 92.0000-92.5000 sec  10.3 MBytes   172 Mbits/sec
[  1] 92.5000-93.0000 sec  10.1 MBytes   170 Mbits/sec
[  1] 93.0000-93.5000 sec  9.51 MBytes   160 Mbits/sec
[  1] 93.5000-94.0000 sec  9.44 MBytes   158 Mbits/sec
[  1] 94.0000-94.5000 sec  5.28 MBytes  88.7 Mbits/sec
