------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 56020 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58662)
[ ID] Interval       Transfer     Bandwidth
[  1] 90.5000-91.0000 sec  7.95 MBytes   133 Mbits/sec
[  1] 91.0000-91.5000 sec  7.83 MBytes   131 Mbits/sec
[  1] 91.5000-92.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 92.0000-92.5000 sec  8.20 MBytes   138 Mbits/sec
[  1] 92.5000-93.0000 sec  4.41 MBytes  74.0 Mbits/sec
[  1] 93.0000-93.5000 sec  7.83 MBytes   131 Mbits/sec
[  1] 93.5000-94.0000 sec  6.89 MBytes   116 Mbits/sec
[  1] 94.0000-94.5000 sec  8.27 MBytes   139 Mbits/sec
[  1] 94.5000-95.0000 sec  7.76 MBytes   130 Mbits/sec
[  1] 95.0000-95.5000 sec  3.98 MBytes  66.8 Mbits/sec
[  1] 95.5000-96.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 96.0000-96.5000 sec  6.65 MBytes   112 Mbits/sec
[  1] 96.5000-97.0000 sec  7.21 MBytes   121 Mbits/sec
[  1] 97.0000-97.5000 sec  8.83 MBytes   148 Mbits/sec
[  1] 97.5000-98.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 98.0000-98.5000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 98.5000-99.0000 sec  8.20 MBytes   138 Mbits/sec
[  1] 99.0000-99.5000 sec  8.27 MBytes   139 Mbits/sec
[  1] 99.5000-100.0000 sec  8.57 MBytes   144 Mbits/sec
[  1] 100.0000-100.5000 sec  4.16 MBytes  69.9 Mbits/sec
[  1] 100.5000-101.0000 sec  9.01 MBytes   151 Mbits/sec
[  1] 101.0000-101.5000 sec  7.07 MBytes   119 Mbits/sec
[  1] 101.5000-102.0000 sec  8.45 MBytes   142 Mbits/sec
